F/CAKES,FISHCAKES
CRISPSCHEDDAR&ONION,Crisps Cheddar & Onion
CRISPSHENDERSON'S,Crisps Henderson's
CRISPYBAKE,Crispy Bake
CRISPYDUCK/HOISIN,Crispy Duck/Hoisin
CRKD,Cracked
CRKETS,Croquettes
CRKLING,CRACKLING
CRKR,CRACKER
CRKRS,CRACKERS
CRL,CEREAL
CRLBARS,Cereal Bars
CRLOW F/RNGE CKN,CARLOW FREE RANGE CHICKEN
CRLTN,Carlton
CRM,CREAM
CRM &CHILLE,Cream & Chilli
CRM&S/BERRY,Cream & Strawberry
CRMD,Crumbed
CRME,CREME
CRMEL,Caramel
CRML,Caramel
CRML/RON,Caramelised Red Onion
CRMLSD/ON,Caramelised onion
CRMSAUCE,Cream Sauce
CRMTORTILLAS,Cream Tortillas
CRMY,CREAMY
CRNCH,CRUNCH
CRNCH60G,Crunch 60g
CRNCHS,CRUNCHIES
CRNCHY,Crunchy
CRNKL/CUT,Crinkle Cut
CRNR,CORNER
CROC DMTE,CROCODILE DIAMANTE
CROIS,CROISSANT
CROISSANT6,Croissant 6
CROQUEMBOUCHE1KG,Croquembouche 1kg
CROSSE&BLACKWELL,Crosse & Blackwell
CROSSE&BLACKWELL4,Crosse & Blackwell 4
CROSSE&BLACKWELL4KIDS,Crosse & Blackwell 4 Kids
CROSSE&BLACKWELLCHINESE,Crosse & Blackwell Chinese
CRRY,Curry
CRS,CARESSES
CRSP,CRISP
CRSPS,Crisps
CRSPY,Crispy
CRSTD,Crusted
CRSTIN,CHRISTENING
CRT,CARROT
CRT/CEREAL,Carrot Cereal
CRTNS,CROUTONS
CRUMBEDWILTSHIRE,CRUMBED WILTSHIRE
CRUMBLYFUDGE,Crumbly Fudge
CRUNCH/VANIYOGURT,Crunch Vanilla Yogurt
CRUNCHIEICE,Crunchie Ice
CRUSTBBQ,Crust BBQ
CRUSTCHEESE,CRUST CHEESE
CRUSTCHICKEN,CRUST CHICKEN
CRUSTEDTROUT,CRUSTED TROUT
CRUSTGARLIC,CRUST GARLIC
CRUSTHAWAIIAN,CRUST HAWAIIAN
CRUSTLAMB,CRUST LAMB
CRUSTLESSSUMMER,Crustless Summer
CRUSTMINCED,Crust Minced
CRUSTPEPPERONI,CRUST PEPPERONI
CRUSTSPICY,Crust Spicy
CRUSTSTEAK,CRUST STEAK
CRVY,CARVERY
CRYST,CRYSTAL
CRYSTALAIR,Crystal Air
CRYSTALS8G,CRYSTALS 8G
CS140G,Cs 140g
CSE,CASE
CSHW,CASHEW
CSINE,Cuisine
CSTAL,Coastal
CSTER,COASTER
CSTR/OIL,Caster Oil
CSTRD,CUSTARD
CSTRIP,Clipstrip
C'STRP,Clipstrip
CTHRNE’S KTCHN,CATHERINE’S KITCHEN
CTN,CARTON
CTNER,CONTAINER
CTR,Counter
CTR FIN*,Tesco Finest Counter
CTR FINEST,Tesco Finest Counter
CTR FINEST*,Tesco Finest Counter
CTR T FINEST,Tesco Finest Counter
CTRN,CITRON
CTROL,CONTROL
CTRY,COUNTRY
CUBESPK,Cubes Pack
CUDDLE UP,Cuddle Up
CUE,CUCUMBER
CULDN,CAULDRON
CULTUREDBUTTERMILK,CULTURED BUTTERMILK
CUMBERLANDFISH,CUMBERLAND FISH
CUMBERLANDPIE,CUMBERLAND PIE
CUMBERLANDPORK,Cumberland Pork
CUMBERLANDSAUS,Cumberland Sausage
CUMBERLANDSAUSAGE,CUMBERLAND SAUSAGE
CUMBERLANDSAUSAGES,CUMBERLAND SAUSAGES
CUPCKE,CUP CAKE
CUPSPECIAL,Cup Special
CURDCHEESECAKE,CURD CHEESECAKE
CURRYDRSNG,Curry Dressing
CURRYPASTE,Curry Paste
CURRYPOWDER,Curry Powder
CURRYRCE,Curry Rice
CUSH SOLE,Cushioned Sole
CUSHTY FDAY,Have a cushty Father's Day
CUSTARD&,Custard &
CUSTARD220G,CUSTARD 220G
CUTLERYSET,Cutlery Set
CV/NERO,Cavolo Nero
CWOOD,CEDARWOOD
CY,Carry
CYNE/CHLI,Cayenne Chilli
CYO,Create Your Own
D&C,DEEP & CRISPY
D&G,DOLCE & GABBANA
D.CHI,Dough.Chi
D/AGED,DRY AGED
D/BITES,DENTABITES
D/BROWN,Dark/Brown
D/C,DELI COUNTER
D/C – FOR DOT.COM,Deli Counter
D/CHEF,Diet chef
D/CHOC,DARK CHOCOLATE
D/COPPER,DARK COPPER
D/CREASE,De-crease
D/CURD,Dry Cured
D/CURE,DRY CURE
D/CYCLE&FIG,Disc Cycle & Fig
D/D,"DRY, DAMAGED"
D/D/P/C,"DRY,DAMAGED.PERMED,COL"
D/DELICTE,Dunareu Delicatete
D/DESTINAT,Delicious Destinations
D/DESTINATIONS,Delicious Destinations
D/EGBERTS,DOUWE EGBERTS
D/FECTANT,DISINFECTANT
D/FECTANTLAVENDER,Disinfectant Lavender
D/FECTANTSEA,Disinfectant Sea
D/FILL,Deep Fill
D/FILLCHEESE,Deep Fill Cheese
D/FILLCHICKEN,Deep Fill Chicken
D/FILLSALMON,Deep Fill Salmon
D/FILLSAUSAGE,Deep Fill Sausage
D/FLY,Dragonfly
D/FR,Dairy Free
D/FRUIT,Dried Fruit
D/FRUITWITH,Dried Fruit With
D/GEST,DIGESTION
D/GOLD,DEVINE GOLD
D/JMS/BTCHRS,DEWO JAMES BUTCHERS
D/KIT,DIFFUSER KIT
D/LEA,Dairylea
D/LINGS,DUMPLINGS
D/LNTHS,Dream Lengths
D/MEATS,DELI MEATS
D/MONTE,DEL MONTE
D/NAT,Dual Nature
D/NITES,Dry Nites
D/NUT,DOUGHNUT
D/P/D,"DRY, PERMED, DAMAGED"
D/PEN,DUE PENOTTI
D/PINK,DELICATE PINK
D/PROTECT,DAILY PROTECT
D/SEN,DRY SENSITIVE
D/SET,DUVET SET
D/STICKS,Drum Sticks
D/STICKS&,Drumsticks And
D/STK,Drumstick
D/STKS,Drumsticks
D/STRING,Drawstring
D/TABLETS,Dishwasher Tablets
D/VIOLT,DAZZLING VIOLET
D/WASH,DISHWASHER
D/WASHER,DISHWASHER
D/WHEAT,DURUM WHEAT
D/WSHER,Dishwasher
DAD BRILLIANT,Dad Brilliant
DAD UR FANTASTIC,"Dad, You're Fantastic"
DAD UR OUT WORLD,Dad You are out of this world
DAIQ,Daiquiri
DAIRIESSEMISKIMMED,Dairies Semi Skimmed
DAIRIESWHOLE,Dairies Whole
DAMAGEDSKIN,Damaged Skin
DAMSON&,Damson &
DANDLN,Dandelion
DANDLN/BURDOCK,Dandelion/Burdock
DANDRUFFSHAMPOO,Dandruff Shampoo
DANISHPASTRIES,DANISH PASTRIES
DATE&ALMD,Date & Almond
DATE/SYRUP/ALMD,Date/Syrup/Almond
DAV,Davora
DAZZLINGSHINE,Dazzling Shine
DB,Double
DBALLS,DOUGHBALLS
DBL,DOUBLE
DBL/CHOC,Double Choc
DBLE,DOUBLE
-DBLE RCH CHOC*12 50G,Double Rich Chocolate 12 X 50G
DBLEDELICACIES,Double Delicacies
DBLEWD,Doublewood
DBLY/DEL,Doubly Delicious
DCAF/AMRCNO,Decaff Americano
DCK,DUCK
DCNS OF DSIDE,DUNCANS OF DEESIDE
DE/CAFF,DECAFFEINATED
DE/CAFFGRND,Decaffeinated Ground
DE/CAFFT/GRND,Decaffeinated Ground
DE/CAFFTRAD,Decaffeinated Traditional
DEATH/VAL,Death Valley
DEC,DECORATIVE
DECAFROAST,Decaffeinated  Roast
DECON,DECONGESTANT
DECORATIVESTONE,Decorative Stone
DECORNG,Decorating
DECS,Decorations
DECTION,DECORATION
DEF,DEFINITION
DEFENCEINT.,Defence Intensive
DEFENCESHAMPOO,Defence Shampoo
DEFENCESPRAY150M,Defence Spray 150 Ml
DEFINSPRAY,Defining Spray
DEFY,DEFYING
DEFYREJUVENATING,Defy Rejuvenating
DEGREASERTWIN,DEGREASER TWIN
DEL GOOD,DELICIOUSLY GOOD
DELACRECRISPY,Declare Crispy
DELICATESHANDWASH,Delicates handwash
DELICATETEA,Delicate Tea
DELICIAMARGHERITA,DELICIA MARGHERITA
DELICIAPEPPERONI,DELICIA PEPPERONI
DELICIAPIZZERIA,DELICIA PIZZERIA
DELICIASQUARE,DELICIA SQUARE
DELICIOUSAPPLES,DELICIOUS APPLES
DELICS,Delicious
DELIGHT700G,Delight 700g
DELIVERYSERVICE,Delivery Service
DELSLY,DELICIOUSLY
DELUXEADVENT,Deluxe Advent
DEMERARASUGAR,Demerara Sugar
DENTUREADHESIVE,Denture Adhesive
DENTURECLNS,Denture Cleans
DEOD,DEODORANT
DEODORISERCLIPSTRIP,Deodoriser clipstrip
DERM,DERMATOLOGICAL
DERMO EX,DERMO-EXPERTISE
DERMOEXPERTISE,Dermo Expertise
DERTS,DESSERTS
DES/SND,Desert Sand
DESCALER250G,Descaler 250g
DESCALER3,Descaler 3
DESIREDESSERT,DESIRE DESERT
DESK/THARD,Desktop Hard
DE-SOLV.,De.Solv.
DESP ME 2,Despicable Me 2
DEVONCLOTTED,DEVON CLOTTED
DEWORMERFOR,Dewormer for
DFFUSERAPPLE,Diffuser apple
DFFUSERBLOSSOM,Diffuser blossom
DFFUSERCOTTON,Diffuser cotton
DFFUSERCOTTON/LOTUS,Diffuser cotton Lotus
DFFUSERSEASONAL,Diffuser seasonal
DFFUSERWINTER,Diffuser winter
DGHLICUS,Doughlicious
DGHT,DAUGHTER
DGLER,DETANGLER
DGON,DRAGON
DGSTVE,Digestive
DGTL,Digital
DHYD,Dehydrate
DIABETICICE,DIABETIC ICE
DIAM,DIAMONTE
DICEDP/APPLE,Diced Pineapple
DICTNRY,Dictionary
DIFF,DIFFUSING
DIFFUSERSPRING,Diffuser spring
DIFSER,DIFFUSER
DIGESTIFT/BAGS,Digestif TeaBags
DIGESTIVE/HOBNOB/RICHTEA,Digestive/Hob Nob/Rich Tea
DINNER100G,Dinner 100g
DINNER190G,Dinner 190g
DINNERKITRSTD,Dinner Kit Roasted
DIPPEDLIQUORICE,Dipped Liquorice
DIPRS,Dippers
DIS,Distinct Cards
DISCOUNTERKIDS,Discounter Kids
DISCVRES,Discoveries
DISCVRY,DISCOVERY
DISHBRUSH,Dish Brush
DISHBRUSHES,Dish Brushes
DISHCLOTHS,Dish cloths
DISHWASHERCLEANER,Dishwasher cleaner
DISHWASHERSALT,Dishwasher Salt
DISHWASHERTABLETS,Dishwasher Tablets
DIS-M.OUI,DIS-MOI OUI
DISNEYTOY,Disney Toy
DISP,DISPOSABLE
DISP.,Disposable
DISPCES,DISNEY PRINCESS
DISPOSABLE33CM,Disposable 33cm
DISPOSABLEBRIQUETTE,Disposable Briquette
DISPOSABLEGLOVES,Disposable gloves
DITNRY,DICTIONARY
DK,DARK
DKNSON&MRRS,Dickinson & Morris
DLAW,DAUGHTER IN LAW
DLTED,DILUTED
DMGE,DAMAGED
DMY,DUMMY
DNDLD NSRY, DUNDONALD NURSERY
DO NOT ABB,SPRAY
DO NOT ABBREVIATE SPRAY,Spray
DOGCKN,Dog Chicken
DOGFOODCKN,Dog Food Chicken
DOGFOODLAMB,Dog Food Lamb
DOGFOODTURKEY,Dog Food Turkey
DOGSIN,Dogs In
DOLCE & GABBANA,D&G
DOM,DOMAINE
DOMINICNREPUBLIC,Dominican Republic
DONEGAL B/HOUSE,DONEGAL BAKEHOUSE
DONLDSON,Donaldson
DONTTHINKITAS30,Dont think of it as 30
DOPIAZA225G,DOPIAZA 225G
DOUBLEAPL,Double Apple
DOUBLEGLOUCESTER,DOUBLE GLOUCESTER
DOUGHNUTSAPPLE,DOUGHNUTS APPLE
DOUGHNUTSASSORTED,Doughnuts Assorted
DOUGHNUTSCARAMEL,Doughnuts Caramel
DOUGHNUTSCHOCOLATE,Doughnuts Chocolate
DOUGHNUTSCUSTARD,Doughnuts Custard
DOUGHNUTSDECORATED,Doughnuts Decorated
DOUGHNUTSORIGINAL,Doughnuts Original
DOUGHNUTSORIGIONAL,Doughnuts Origional
DOUGHNUTSVANILLA,DOUGHNUTS VANILLA
DOZEN6PK,Dozen 6pk
DP,DEEP
DP/BR/BRWRY,DROP BEAR BREWERY
D'PAK,DALEPAK
DPNSR,DISPENSER
DRAGONFRT SPRK,Dragon Fruit Sparkling
DRAUGHTPEDIGREE,Draught Pedigree
DREADFU,Dreadful
DREAMINBEST,Dreamin Best
DRESSING550,Dressing 550
DRGNFRT,Dragon Fruit
DRGNFRT/STRWBRY,Dragon Fruit/Strawberry
DRIEDMANGO,Dried Mango
DRIEDPEAS,Dried Peas
DRINK4,Drink 4
DRINKCALC,Drink Calcium
DRINKINGCHOCOLATE,Drinking Chocolate
DRINKINGYOGURT,Drinking Yogurt
DRINKSAPL,Drinks Apple
DRIP&DROP,Drip & Drop
DRIPPING500G,DRIPPING 500G
DRK,Dark
DRKCANS,Drink Cans
DRKST/BRWN,Darkest Brown
DRNK,Drink
DRNK200ML,Drink 200ml
DRNK250ML,Drnk250ml
DRNK500ML,Drink 500ml
DRNK6X330,Drink 6x330
DRSNG,Dressing
DRSSNG,DRESSING
DRUMSTICKLOLLY,Drumstick Lolly
DRUMSTK/THIGHS,Drumsticks / Thighs
DRY/SEN,Dry / Sensetive
DRYCUREBACK,DRY CURE BACK
DRYCURELOIN,DRY CURE LOIN
DSRVE 2B SPOILED,Deserve To Be Spoiled
DSST,DESSERT
DSST/CRM,Dessert Cream
DSTD,Dusted
DSTLERS,DISTILLERS
DTE,Date
DTRG,Detergent
DTXIFNG,DETOXIFYING
DUBSTEPCD,Dubstep CD
DUCK/RBT CKN/VEG,Duck Rabbit Chicken Vegetable
DUCKEGG,Duck Egg
DUERRS,DUERR'S
DUERR'SMINCEMEAT,DUERR'S MINCE MEAT
DUMPING430,Dumping 430g
DUNKERSBAKED,DUNKERS BAKED
DUNKERSFROMAGE,DUNKERS FROMAGE
DUNKERSJUMBO,DUNKERS JUMBO
DUNLOPSUN,Dunlop Sun
DURAGUARDLIMESCALE,Dura guard limescale
DUSTEDLEMON,DUSTED LEMON
DUSTEDPLAICE,DUSTED PLAICE
DUVETS,Duvet
DV/FARM,DOVES FARM
DVD,DVD
DYO,Decorate your own
E.,EYE
E.FIT,EASY FIT
E.SHAW,ELIZABETH SHAW
E/BERRY,ELDERBERRY
E/BLACK,EBONY BLACK
E/BLUE,ELECTRIC BLUE
E/BROWN,ENIGMA BROWN
E/C/CMPNY/LTD,ENGLISH CHEESECAKE COMPANY LTD
E/CANDY,EYE CANDY
E/CIGS,Electronic cigarettes 
E/D,Every day
E/DEFINER,EYE DEFINER
E/EGG,Easter Egg
E/ENTRNING,Easy entertaining
E/F PANTS,Easy Fit Pants
E/FLOWER,ELDERFLOWER
E/FLOWERJUICE,Elderflower Juice
E/FLWR,Elder Flower
E/FREE,Extra Free
E/GISING,ENERGISING
E/LNR,EYELINER
E/MANN,ENTENMANNS
E/PHONES,EAR PHONES
E/PHONES W/MIC,EAR PHONES WITH MIC
E/PLUM,ETERNAL PLUM
E/SHDW,EYE SHADOW
E/V,Extra Virgin
E/VOL,EXTRA VOLUME
E45SILKYRADIANCE,E45 Silky Radiance
EARRIN,Earring
EASTERNESCAPE95G,Eastern Escape 95g
EASYCOOK,Easy Cook
EASYGRIP,Easy Grip
EBRW/PNCL,Eyebrow Pencil
EBTC,Everything but the cow
EC/B/HOUSE,East Coast Bakehouse
ECIG,Electronic Cigarette
ECON,ECONOMY
ECONOMICGLOVES,Economic Gloves
ECUAD,ECUADORIAN
ED,Edition
EDAY,EVERYDAY
EDGENACHO,Edge Nacho
EDGEPIRI,Edge Piri
EDI,Edition
EDI.,Edition
EDISONSCREW,Edison screw
EDITION35CL,Edition 35cl
EDITIONPS3,Edition PS3
EDITIONXBOX,Edition Box
EDMME,Edammame
EDN,Edition
EDP,EAU DE PARFUM
EDT,EAU DE TOILETTE
EDTN,EDITION
EF/SCENT,EFFERVESCENT
EFFCT,Effect
EFFRONTEES,EFFRONTEES
EFLWR,Elderflower
EG/ST/JQS,EGLISE SAINT JACQUES
EGG/FR,egg fried rice
EGGAND,Egg And
EGGSMINIMUM,EGGS MINIMUM
EK,Ella's Kitchen
ELC ,Early Learning Centre 
ELDERFLOWERPRESSE,Elder Flower Presse
ELDERFLWR,Elder Flower
ELEC,ELECTRIC
ELECTRICPLUG,Electric plug
ELECTRICREFILL,Electric refill
ELECTROLYTE500G,Electrolyte 500g
ELEPHANTLARGE,Elephant Large
ELLAS,Ella's
ELMNTS,ELEMENTS
ELRS/FRM/DSTLY,ELLERS FARM DISTILLERY
ELS BEHVN’ BDLY,ELVES BEHAVIN’ BADLY
ELVIVENUTRIGLOSS,Elvive Nutri Gloss
EMB,EMBOSSED
EMBD,EMBROIDERED
EMGNCY,EMERGENCY
EMR,EMOTIONAL RESCUE
ENCHLDA,Enchilada
ENERG,Energy
ENERGY47G,Energy 47g
ENG,ENGLISH
ENG/PROV,ENGLISH PROVENDER COMPANY
ENGA,ENGAGEMENT
ENGLISHBREAKFAST,English Breakfast
ENGLISHTEA,English Tea
ENHAN,ENHANCING
ENJ THE HPNESS,Enjoy The Happiness
ENRAPTUREAMPLIFY,Enrapture Amplify
ENRGY,Energy
ENRICH,ENRICHED
ENTRNING,Entertaining
ENVRNMNT,Environment
EPC,ENGLISH PROVENDER
EPO,EVENING PRIMROSE OIL
EPRIA,EUPHORIA
ERTH,EARTHY
ES,EDISON SCREW
ESCALOPES220G,Escalopes 220g
ESCLOP,Escalope
ESNS,ESSENCES
ESPECIALLYFORYOU,Especially for you
ESPRESROAST,Express Roast
ESS,ESSENTIAL
ESS/OLS,Essential Oils
ESSENTIALKITCHENBATHROOMS,Essential Kitchen Bathrooms
EST,ESTATE
ESTMCDM,Est Macadamia
ESTR,EASTER
ET,Elegant Touch
ETCC,EDINBURGH TEA & COFFEE COMPANY
ETNG DE SOL PIPL,ETANG DE SOL PICPOUL
EUC,EUCALYPTUS
EUPHORIA -DECADETRANCE,Euphoria Decade Trance
EUR FD/BRNDS,Euro Food Brands
EV SML EV KISS,Every Smile Every Kiss
EVAP,EVAPORATED
EVERDAY,Everyday
EVERYDAY/DLY,Everyday Daily
EVTHNG/NCE,Everything Nice
EX,EXTRA
EX LGE,EXTRA LARGE
EX VNG O/OIL,Extra Virgin Olive Oil
EXCELLENCECHOCOLATE,Excellence Chocolate
EXCELLENCEDARK,Excellence Dark
EXCELLENCEMILK,Excellence Milk
EXCL,Excellence
EXCL/HSEWRE, Excellent Houseware
EXCUISITESTRAWBERRY,Excuisite Strawberry
EXFOL,EXFOLIATE
EXFOLNG,EXFOLIATING
EXGRTE,Exaggerate
EXHIL,Exhilarations
EXLDNG,Excluding
EXP,EXPRESS
EXPERT75ML,Expert 75ml
EXPL,EXPLORERS
EXPLD KITNS,EXPLODING KITTENS
EXPLOD/CNDY,Exploding Candy
EXPRESSCOND,Express Conditioner
EXPRESSOROAST,Expresso Roast
EXPRESSSHAMPOO,Express Shampoo
EXPRSO,ESPRESSO
EXPS,EXPOSURE
EXPTON,EXPEDITION
EXT,Extra
EXT/ORD,Extraordinary
EXTC,Exotic
EXTERMINATESOUND,EXTERMINATE SOUND
EXTRA 10D,10 Denier
EXTRABANANA,Extra Banana
EXTRACHOCOLATE,Extra Chocolate
EXTRALIGHT,Extra Light
EXTRAM/ROOM,Extra Mushroom
EXTRAMATURE,EXTRA MATURE
EXTRASTRAWBERRY,Extra Strawberry
EXTRAVANILLA,Extra Vanilla
EXTRM,Extreme
EYELINER12GREEN,Eyeliner 12 green
EYO,Explore Your Own
F & C,FULL & CRISPY
F&E,Fresh & Easy
F&F,Florence & fred
F&I,Fox & Ivy
F.0.B,FRUIT ON THE BOTTOM
F.A.P.L.,FOOTBALL AS. PREM LEAGUE
F.EASE,Frizz-Ease
F.F,Forever Friends
F/BALANCE,FRESH BALANCE
F/BALL,FOOTBALL
F/BALLS,FISH BALLS
F/BATH,FOAMBATH
F/BEAUT,Feeling Beautiful
F/BRDS,FLATBREADS
F/BREAD,Flatbread
F/BRGUE,Finnebrogue
F/BROWN,FANCIFUL BROWN
F/C,FISH COUNTER
F/CAKE,FISHCAKE
F/CARE,FOOTCARE
F/CLN,FOAM CLEANSING
F/COCKTAIL,FRUIT COCKTAIL
F/COLS,Feature Colours
F/CON,FRENCH CONNECTION
F/COND,Fabric Conditioner
F/CUT,FINE CUT
F/CUTMARMALADE,Fine Cut Marmalade
F/DAY,FATHER'S DAY
F/DEFENCE,FACE DEFENCE
F/EMPRM,Food Emporium
F/F,FRAGRANCE FREE
F/FAT,FULL FAT
F/FATALE,FAWN FATALE
F/FOOD,Fresh food
F/FOODS,FINE FOODS
F/FRAIS,FROMAGE FRAIS
F/FREE,FAT FREE
F/FRIES,French Fries
F/FROM,Free from
F/FRSH,Forever Fresh
F/FRUIT,Forest Fruit
F/FRUITY,FABULOULSY FRUITY
F/GRILL,Flame Grilled
F/GRLL,FLAMEGRILLED
F/H,Farmhouse
F/HAIR,Frizzy Hair
F/HOUSE,Farmhouse
F/HSE,FARMHOUSE
F/HSECLOTTED,Farmhouse Clotted
F/IVORY,FAIR IVORY
F/JACK,Flap Jack
F/JACKS,Flap Jacks
F/LAW,FATHER IN LAW
F/LETTE,FLANELLETTE
F/M,FRESHMATIC
F/MINT,FRESHMINT
F/MNCA,Franco Manca
F/ON,FOLLOW ON
F/ORANG,FLAMING ORANGE
F/PANSY,Forest Pansy
F/PAST,FRUIT PASTILLES
F/PIT,Firepit
F/POPS,Freeze Pops
F/PROTECT,FADE PROTECTION
F/RANGE,FREE RANGE
F/RANGECHICKEN,Free Range Chicken
F/RANGECORN,Free Range Corn
F/RANGECORNFED,Free Range Corn fed
F/RANGES/L,Free Range Skinless
F/RANGEWHOLE,Free Range Whole
F/RED,FIERY RED
F/RFSHR,Fabric Refresher
F/RMDY,Frizz Remedy
F/RNGE,FREE RANGE
F/RO,FERRERO
F/RSIST,Full Resist
F/SCREEN,Flat Screen
F/SIZE,FULL SIZE
F/SQUEEZED,Freshly Squeezed
F/SQZD,Freshly Squeezed
F/SYNTH,Fully Synthetic
F/T,Fairtrade
F/TDE,Fairtrade
F/TIED,Fortified
F/TISSUE,Face Tissue
F/TOAST,FRENCH TOAST
F/TRAD,Fair Trade
F/TRADE,Fair Trade
F/TRADEORG,Fair Trade Organic
F/TRADORG,Fair Trade Organic
F/TRD,Fair Trade
F/TURE,FURNITURE
F/WASH,FACE WASH
F/WEAR,FOOTWEAR
F/WNDS,Fruit Winders
FAC,FACIAL
FAIRIES/PRINCESSWRAP,Fairies/Princess Wrap
FAIRTRADE,FAIR TRADE
FAIRTRADEAMERICANO,Fairtrade Americano
FAIRTRADECOLOMBIA,Fairtrade Colombia
FAIRTRADEFREEZE,Fairtrade Freeze
FAIRTRADEITALIANO,Fair Trade Italiano
FAIRTRADELATIN,Fairtrade Latin
FAIRTRADENICARAGUA,Fairtrade Nicaragua
FAIRTRADEORG,Fairtrade Organic
FAIRYTALE,Fairy Tale
FAJITASLICES,Fajita Slices
FALFL,Falafel
FALLOFYOU,To All of You
FAM,FAMILY
FANTASTTIMESAHD,Fantastic Times Ahead
FARMERPREMIUM,FARMER PREMIUM
FARMHOUSECHEDDAR,FARMHOUSE CHEDDAR
FARMHOUSEWHEATEN,FARMHOUSE WHEATEN
FARMSLAMB,Farms Lamb
FARMSSOMERSET,FARMS SOMERSET
FARROWS,Farrow's
FASHIONSTYLE,Fashion Style
FAT125G ,Fat 125g
FAT400ML,Fat 400 ml
FATAPPLE/RASPBERRY,FAT APPLE / RASPBERRY
FATFEAST,Fat Feast
FATRICE,Fat Rice
"FATS/BERRY,ORIGINAL6",FAT STRAWBERRY ORIGINAL 6
FAUN,Auntie
FAV,Favourite
FAVOURITECUMBERLAND,FAVOURITE CUMBERLAND
FAVOURITEMXD,Favourite Mixed
FAVS,Favourites
FBB,FABULOUS BAKER BOYS
FBOTH,To Both
FBOYF,To Boyfriend
FBRLOGY,Fibrology
FBRO,Brother
FCE,FIANCE
FCEE,FIANCEE
FCTRY,Factory
FD/SHLD,Food Should
FDAD,Dad
FDDY,Daddy
FDDY NOUT MORE,"Daddy, there is nothing more.. '"
FDG,FUDGE
FDTR,Daughter
FDTR & SON IL,For Daughter & Son-in-law
FDWIE/FRMHSE,Findowie Farmhouse
FDY 1 INA MINION,Happy Father's Day Dad - You're 1 in a minion
FEATUREFLAVOURED,FEATURE FLAVOURED
FEBREZE1,Febreze 1
FEEDERSUPREME,Feeder Supreme
FELINFOEL BRWRY,FELINFOEL BREWERY
FENNEL20S,Fennel 20s
FERT,Fertility
FESTIVECHUTNEY,FESTIVE CHUTNEY
FESTIVEFRUIT,FESTIVE FRUIT
FESTIVSPICE,Festive spice
FETA200G,FETA 200G
FETACUBES,Feat Cubes
FF,F&F
FF BASIC,Basic
FF BASIC OPQ,Basic Opaque
FFRD,Friend
FFS/BERRY,Free From Strawberry
FGDD,Grandad
FGDD SUM1 WHO,A Grandad is someone who..
FGDD UR THE BEST,Grandad you’re chimply the best
FGDR,Granddaughter
FGF,FEEL GOOD FRAGRANCE
FGIRLF,To Girlfriend
FGMA&GPA,For Grandma & Grandpa
FGNMA,Grandma
FGRAN,Gran
FGRANDPARENTS,For Grandparents
FGRE,FIGURE
FGRL,Girl
FGS,For Goodness Shakes
FGSN,Grandson
FHIM,For Him
FHSD,Husband
FHSD CARE LOVE,Husband Caring Honest Loving
FILL W HAPPINESS,Filled with Happiness
FILLDCANDLE,Filled Candle
FILLDPOT,Filled Pot
FILLEDBRAINS,Filled Brains
FILLEDPANCAKES,FILLED PANCAKES
FILLETS1.04KG,FILLETS 1.04KG
FILLETS210G,FILLETS 210G
FILLETS250G,FILLETS 250G
FILLETS250G-380G,Fillets 250g-380G
FILLETS380G,Fillets 380g
FILLETS400G,FILLETS 400G
FILLETS625G,FILLETS 625G
FILLETSBAG,Fillets Bag
FILLETSS/FLWR,Fillets Sunflower
FILLETSSFL/VEG,Fillets Sunflower Vegetable
FILLETX/V,Fillet Extra Virgin
FILTERCOLOUR,Filter Colour
FILTHY/G,FILTHY GORGEOUS
FIN*,FINEST
FIN*FRENCHRIPENING,Finest French Ripening
FIN*FRENCHTRAD,FINEST FRENCH TRAD
FINECHINA,Fine China
FINESTABERDEEN,FINEST ABERDEEN
FINESTCHERRY,FINEST CHERRY
FINESTCHILLI,Finest Chilli
FINESTCORNISH,Finest Cornish
FINESTMELTON,FINEST MELTON
FINESTPUTTANESCA,Finest Puttanesca
FINESTROASTED,FINEST ROASTED
FINGERROLLS,FINGER ROLLS
FINH,FINISH
FINISHMAHOGANY,Finish Mahogany
FINISHWALL,Finish Wall
FINNEBROGUE,FINNE BROGUE
FIRSTCAPE,First Cape
FIRSTSTEPSCOOKIES,First Steps Cookies
FIRY/HAB,Fiery Habanero
FISH&,Fish &
FISHCAKES300G,FISHCAKES 300G
FISHFILLETS,Fish Fillets
FISHNET TIGH,Fishnet
FISRMNS,Fisherman’s
FIVEMILETOWN,FIVE MILE TOWN
FIXINGGEL,Fixing Gel
FLAKES&CHIP,Flakes & Chip
FLAKES425,Flakes 425
FLAKES52G,Flakes 52g
FLAMEGRILLED,FLAME GRILLED
FLAMINGCOPPER740,Flaming Copper 740
FLAPJACKCHEESECAKE,FLAPJACK CHEESECAKE
FLAPJACKDESSERT,Flapjack Dessert
FLAPJACKS5PK,FLAPJACKS 5PK
FLATBRD,Flatbread
FLATBREAD235G,FLATBREAD 235G
FLATBREADMIXED,Flatbread Mixed
FLATBREADSLT,Flatbread Salt
FLAV,FLAVOURED
FLAV25G,Flavour 25g
FLAVOUREDCAKE,Flavoured Cake
FLAVOURFIZZ,Flavour Fizz
FLAVOURS140G,Flavours 140g
FLAVOURSCURRY,Flavours Curry
FLAVOURSKEBAB,Flavours Kebab
FLAVOURSSALT,Flavours Salt
